,category,subclass_1,subclass_2
S_mini-Gimbap (rice roll),Snack_any,Snack,Snack
S_stir-fried rice with eggs and vegetables,Snack_any,Snack,Snack
S_stir-fried rice with beef and paprika,Snack_any,Snack,Snack
S_stir-fried rice with beef,Snack_any,Snack,Snack
S_stir-fried rice with eggs,Snack_any,Snack,Snack
S_rice cake soup,Snack_any,Snack,Snack
S_pancake,Snack_any,Snack,Snack
S_(low-sugar) cereal,Snack_any,Snack,Snack
S_potato salad,Snack_any,Snack,Snack
S_potato raisin salad,Snack_any,Snack,Snack
S_potato yoghurt salad,Snack_any,Snack,Snack
S_rice cake with bean paste,Snack_any,Snack,Snack
S_rice cake with bean paste (40g),Snack_any,Snack,
S_pineapple,Snack_any,Snack,Snack
S_kyoho grape,Snack_any,Snack,
S_raisin potato bowl,Snack_any,Snack,Snack
S_black sesame soy milk (100ml),Snack_any,Snack,
S_black sesame soy milk (150ml),Snack_any,Snack,
S_black sesame soy milk (200ml),Snack_any,Snack,
S_black soybean milk (100ml),Snack_any,Snack,
S_black soybean milk (150ml),Snack_any,Snack,
S_black soybean milk (200ml),Snack_any,Snack,
S_almond,Snack_any,Snack,
S_peanut,Snack_any,Snack,
S_walnut,Snack_any,Snack,
S_nuts,Snack_any,Snack,Snack
S_fried-egg toast,Snack_any,Snack,Snack
S_fried-egg toast,Snack_any,Snack,
S_sweet potato dango,Snack_any,Snack,
S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),Snack_any,Snack,Snack
S_sweet potato shake,Snack_any,Snack,Snack
S_dried persimmon,Snack_any,Snack,Snack
S_Fusilli salad,Snack_any,Snack,Snack
S_tomato tofu salad,Snack_any,Snack,Snack
S_fruit salad,Snack_any,Snack,Snack
S_fruit salad (mayonnaise),Snack_any,Snack,Snack
S_fruit soft tofu smoothie,Snack_any,Snack,
S_tangerine,Snack_any,Snack,Snack or lunch
S_tangerine (50g),Snack_any,Snack,
S_honey-filled rice cake,Snack_any,Snack,Snack
S_honey-filled fried pancake,Snack_any,Snack,
S_steamed rice cake,Snack_any,Snack,Snack
S_yellow steamed rice cake,Snack_any,Snack,Snack
S_sweet persimmon,Snack_any,Snack,Snack or lunch
Dried?Persimmon,Snack_any,Snack,Snack
S_sweet red bean doughnut,Snack_any,Snack,
S_mocha break,Snack_any,Snack,Snack
S_sweet red bean bun,Snack_any,Snack,Snack
S_sweet pumpkin rice cake-based cake,Snack_any,Snack,
S_sweet pumpkin steamed rice cake,Snack_any,Snack,Snack
S_sweet pumpkin rice punch,Snack_any,Snack,
S_Korean egg bread with chives,Snack_any,Snack,Snack
S_egg bun with water celery,Snack_any,Snack,Snack
S_stir-fried rice with chicken and aubergine,Snack_any,Snack,Snack
S_carrot and tofu snack,Snack_any,Snack,
S_carrot stick,Snack_any,Snack,
S_tofu,Snack_any,Snack,
S_tofu pudding,Snack_any,Snack,
S_soft tofu + marinade sauce,Snack_any,Snack,Snack
S_soy milk (100ml),Snack_any,Snack,Snack or lunch
S_soy milk (150ml),Snack_any,Snack,Snack or lunch
S_soy milk (200ml),Snack_any,Snack,Snack
S_Solomon's seal tea,Snack_any,Snack,Snack
S_strawberry,Snack_any,Snack,Snack or lunch
S_strawberry jam bread,Snack_any,Snack,
S_yoghurt (100ml),Snack_any,Snack,Snack or lunch
S_lemon juice,Snack_any,Snack,Snack
S_bread roll,Snack_any,Snack,Snack
S_garlic bread,Snack_any,Snack,Snack
S_madeleine,Snack_any,Snack,Snack
S_mango juice,Snack_any,Snack,
S_green plum jelly,Snack_any,Snack,
S_green plum juice,Snack_any,Snack,
S_green plum juice,Snack_any,Snack,
S_green plum tea,Snack_any,Snack,Snack
S_muffin,Snack_any,Snack,Snack
S_melon,Snack_any,Snack,Snack
S_melon (100g),Snack_any,Snack,
S_melon (75g),Snack_any,Snack,
S_melon puree,Snack_any,Snack,Snack
S_beef rice ball,Snack_any,Snack,Snack
S_chicken rice ball,Snack_any,Snack,Snack
S_anchovy rice ball,Snack_any,Snack,Snack
S_milk bread roll,Snack_any,Snack,Snack
S_milk bread roll + strawberry jam,Snack_any,Snack,Snack
S_rainbow rice cake,Snack_any,Snack,Snack
S_rainbow rice cake (40g),Snack_any,Snack,
S_mini-mandu (dumpling),Snack_any,Snack,Snack
S_misugaru (mixed grain powder),Snack_any,Snack,Snack
S_banana,Snack_any,Snack,Snack or lunch
S_banana (100g),Snack_any,Snack,
S_soft tofu salad (oriental dressing),Snack_any,Snack,Snack
S_banana apple kiwi salad,Snack_any,Snack,Snack
S_banana shake,Snack_any,Snack,
S_banana pancake,Snack_any,Snack,Snack
S_Baram rice cake (with bean paste),Snack_any,Snack,Snack
S_Baram rice cake (with bean paste) (40g),Snack_any,Snack,
S_steamed rice cake with chestnut,Snack_any,Snack,Snack
S_steamed rice cake with chestnut (40g),Snack_any,Snack,
S_bread with chestnut,Snack_any,Snack,Snack
S_shrimp rice ball,Snack_any,Snack,Snack
S_cherry tomato,Snack_any,Snack,Snack or lunch
S_cherry tomato (70g),Snack_any,Snack,
S_pear,Snack_any,Snack,Snack or lunch
S_pear (100g),Snack_any,Snack,
S_snow white rice cake (80g),Snack_any,Snack,Snack
S_snow white rice cake,Snack_any,Snack,Snack
S_Vegemil,Snack_any,Snack,
S_barley rice cake (40g),Snack_any,Snack,Snack
S_barley tea,Snack_any,Snack,Snack
S_peach,Snack_any,Snack,Snack or lunch
S_peach - 60g,Snack_any,Snack,
S_nectarine,Snack_any,Snack,Snack
S_nectarine - 60g,Snack_any,Snack,
S_peach (white),Snack_any,Snack,Snack
S_peach (white) - 60g,Snack_any,Snack,
S_peach (yellow),Snack_any,Snack,Snack
S_peach (yellow) - 60g,Snack_any,Snack,
S_peach walnut smoothie,Snack_any,Snack,
S_blueberry,Snack_any,Snack,Snack
S_blueberry banana shake,Snack_any,Snack,
S_apple,Snack_any,Snack,Snack or lunch
S_apple (100g),Snack_any,Snack,
S_apple (35g),Snack_any,Snack,
S_apple (75g),Snack_any,Snack,
S_apple salad (mayonnaise),Snack_any,Snack,Snack
S_boiled potato,Snack_any,Snack,
S_boiled egg,Snack_any,Snack,Lunch
S_boiled sweet potato,Snack_any,Snack,
S_boiled egg,Snack_any,Snack,Snack
S_sandwich,Snack_any,Snack,Snack
S_soboro bun (streusel-like crusted bread),Snack_any,Snack,Snack
S_half-moon rice cake,Snack_any,Snack,Snack
S_half-moon rice cake (40g),Snack_any,Snack,
S_surichui rice cake,Snack_any,Snack,Snack
S_surichui rice cake (40g),Snack_any,Snack,
S_watermelon,Snack_any,Snack,Snack or lunch
S_homestyle banana milk,Snack_any,Snack,Snack
S_homestyle blueberry banana milk,Snack_any,Snack,Snack
S_homestyle strawberry milk,Snack_any,Snack,Snack
S_homestyle blueberry milk,Snack_any,Snack,Snack
S_cream bun,Snack_any,Snack,Snack
S_choux pastry,Snack_any,Snack,Snack
S_scrambled eggs,Snack_any,Snack,
S_scrambled eggs with cheese,Snack_any,Snack,Snack
S_scrambled eggs,Snack_any,Snack,Snack
S_scrambled eggs with spinach,Snack_any,Snack,Snack
S_bread + strawberry jam,Snack_any,Snack,Snack
S_rice punch,Snack_any,Snack,Snack
S_rice-based cereal,Snack_any,Snack,Snack
S_rice-based beverage,Snack_any,Snack,
S_rice cake with mugwort,Snack_any,Snack,Snack
S_rice cake with mugwort (40g),Snack_any,Snack,
S_steamed rice cake with mugwort,Snack_any,Snack,Snack
S_steamed rice cake with mugwort (40g),Snack_any,Snack,
S_cereal,Snack_any,Snack,Snack
S_almond apple doughnut,Snack_any,Snack,
S_apple pie,Snack_any,Snack,
S_Yakgwa (honey cookie),Snack_any,Snack,
S_Yaksik (sweet rice with jujube),Snack_any,Snack,Snack
S_orange,Snack_any,Snack,Snack or lunch
S_orange (100g),Snack_any,Snack,
S_orange juice,Snack_any,Snack,Snack
S_orange juice (sugar-free),Snack_any,Snack,Snack or lunch
S_Omija tea,Snack_any,Snack,Snack
S_five-color roll sandwich,Snack_any,Snack,
S_cucumber carrot stick,Snack_any,Snack,Snack or lunch
S_cucumber stick,Snack_any,Snack,
S_cream soup,Snack_any,Snack,Snack
S_corn soup,Snack_any,Snack,Snack
S_corn cereal,Snack_any,Snack,Snack
S_Yakult,Snack_any,Snack,
S_stir-fried rice with kimchi (mild flavor),Snack_any,Snack,Snack
S_burdock rice ball,Snack_any,Snack,Snack
S_stir-fried rice with burdock and vegetables,Snack_any,Snack,Snack
S_milk (100ml),Snack_any,Snack,Snack
S_milk (150ml),Snack_any,Snack,Snack
S_milk (200ml),Snack_any,Snack,Snack
S_milk with misugaru (mixed grain powder),Snack_any,Snack,Snack
S_roasted potato wedge,Snack_any,Snack,Snack
S_rice ball with chopped fried tofu,Snack_any,Snack,Snack
S_rice ball with fried tofu,Snack_any,Snack,Snack
S_yuzu tea,Snack_any,Snack,Snack
S_sweet pumpkin salad,Snack_any,Snack,Snack
S_sweet pumpkin salad (mayonnaise),Snack_any,Snack,
S_sweet potato salad (mayonnaise),Snack_any,Snack,Snack
S_sweet potato salad with crushed nuts (yoghurt),Snack_any,Snack,Snack
S_Injeolmi (rice cake coated with bean powder),Snack_any,Snack,
S_plum,Snack_any,Snack,Snack
S_jam sandwich,Snack_any,Snack,Snack
S_pounded rice cake,Snack_any,Snack,Snack
S_pounded rice cake (40g),Snack_any,Snack,
S_rice ball,Snack_any,Snack,
S_fermented rice cake (40g),Snack_any,Snack,
S_fermented rice cake,Snack_any,Snack,Snack
S_steamed potato,Snack_any,Snack,Snack
S_fried sweet potato,Snack_any,Snack,Snack
S_steamed sweet potato,Snack_any,Snack,Snack
S_steamed sweet potato (80g),Snack_any,Snack,Snack
S_steamed mandu (dumpling),Snack_any,Snack,Snack
S_steamed chestnut,Snack_any,Snack,Snack
S_steamed bread,Snack_any,Snack,Snack
S_steamed corn,Snack_any,Snack,Snack
S_corn bread,Snack_any,Snack,Snack
S_fried potato with butter,Snack_any,Snack,Snack
S_grilled corn with butter,Snack_any,Snack,Snack
S_rice ball with fried tofu and spring parsley,Snack_any,Snack,Snack
S_Korean melon,Snack_any,Snack,Snack or lunch
S_Korean melon (50g),Snack_any,Snack,
S_Korean melon salad,Snack_any,Snack,Snack
S_rice ball with spinach and nuts,Snack_any,Snack,Snack
S_rice ball with shirimp,Snack_any,Snack,Snack
S_tuna rice ball,Snack_any,Snack,Snack
S_pan-fried vegetables,Snack_any,Snack,Snack
S_pan-fried vegetables with tuna,Snack_any,Snack,Snack
S_doughnut,Snack_any,Snack,Snack
S_sweet rice doughnut,Snack_any,Snack,
S_scrambled eggs with vegetables,Snack_any,Snack,Snack
S_steamed bread with vegetables,Snack_any,Snack,Snack
S_white grape,Snack_any,Snack,Snack
S_Choongmoo Gimbap (rice roll),Snack_any,Snack,Snack
S_cheese,Snack_any,Snack,Snack
S_cheese muffin,Snack_any,Snack,
S_cheese bread,Snack_any,Snack,Snack
S_cheese cake,Snack_any,Snack,Snack
S_sponge cake,Snack_any,Snack,Snack
S_cacao olive cake,Snack_any,Snack,
S_cake,Snack_any,Snack,Snack
S_soy milk,Snack_any,Snack,
S_cranberry sweet rice cake,Snack_any,Snack,
S_croissant,Snack_any,Snack,Snack
S_croissant (30g),Snack_any,Snack,Snack
S_croissant sandwich,Snack_any,Snack,Snack
S_kiwi,Snack_any,Snack,Snack or lunch
S_kiwi (100g),Snack_any,Snack,
S_tomato (100g),Snack_any,Snack,
S_tomato,Snack_any,Snack,Snack or lunch
S_tomato shake,Snack_any,Snack,
S_scrambled eggs with tomato,Snack_any,Snack,Snack
S_tomato juice,Snack_any,Snack,
S_toasted bread,Snack_any,Snack,Snack
S_toast,Snack_any,Snack,
S_paprika stick,Snack_any,Snack,Snack
S_paprika rice ball with fried tofu,Snack_any,Snack,Snack
S_grape,Snack_any,Snack,Snack
S_grape juice,Snack_any,Snack,Snack
S_French toast,Snack_any,Snack,Snack
S_pizza bread,Snack_any,Snack,Snack
S_mini hot dog,Snack_any,Snack,Lunch
S_hot dog,Snack_any,Snack,Snack
S_walnut tofu shake,Snack_any,Snack,
S_walnut milk,Snack_any,Snack,
S_furigake rice ball,Snack_any,Snack,Snack
S_grilled rice cake,Snack_any,Snack,Snack
S_black sesame rice cake,Snack_any,Snack,Snack
S_fruit salad (yoghurt dressing),Snack_any,Snack,Snack
S_veggie rice ball,Snack_any,Snack,Snack
S_rice ball with seaweed flakes,Snack_any,Snack,Snack
S_blueberry sweet potato salad,Snack_any,Snack,Snack
S_steamed rice cake with mugwort,Snack_any,Snack,Snack
S_stir-fried rice with tuna and aubergine,Snack_any,Snack,Snack
S_cheese rice ball,Snack_any,Snack,Snack
S_stir-fried rice with shrimp,Snack_any,Snack,Snack
S_stir-fried rice with kimchi,Snack_any,Snack,Snack
S_stir-fried rice with shrimp and vegetables,Snack_any,Snack,Snack
S_cheese mini-Gimbap (rice roll),Snack_any,Snack,Snack
S_potato soy paste porridge,Snack_any,Snack,
S_curled mallow soy paste porridge,Snack_any,Snack,Snack
S_curled mallow porridge,Snack_any,Snack,Snack
S_aubergine tofu porridge,Snack_any,Snack,
S_aubergine porridge,Snack_any,Snack,Snack
S_potato sweet rice porridge,Snack_any,Snack,
S_potato cheese porridge,Snack_any,Snack,
S_black sesame porridge,Snack_any,Snack,
S_black sesame porridge,Snack_any,Snack,Snack
S_black soy milk porridge,Snack_any,Snack,
S_black soy porridge,Snack_any,Snack,Snack
S_soft crab porridge,Snack_any,Snack,
S_soft crab porridge,Snack_any,Snack,
S_soft crab porridge,Snack_any,Snack,Snack
S_soft crab veggie soup,Snack_any,Snack,
S_soft crab cheese porridge,Snack_any,Snack,
S_nuts porridge,Snack_any,Snack,Snack
S_sweet potato tofu porridge,Snack_any,Snack,
S_cheese sweet potato porridge,Snack_any,Snack,Snack
S_sweet potato soup,Snack_any,Snack,Snack
S_sweet potato porridge,Snack_any,Snack,Snack
S_sweet potato bokchoy porridge,Snack_any,Snack,
S_sweet potato porridge,Snack_any,Snack,
S_chard porridge,Snack_any,Snack,Snack
S_chard soy paste porridge,Snack_any,Snack,Snack
S_sweet rice porridge with seaweed flakes,Snack_any,Snack,Snack
S_veggie porridge with seaweed flakes,Snack_any,Snack,
S_kimchi rice crust porridge,Snack_any,Snack,
S_kimchi porridge,Snack_any,Snack,Snack
S_kimchi cheese  porridge,Snack_any,Snack,Snack
S_sesame porridge,Snack_any,Snack,
S_mung bean porridge,Snack_any,Snack,Snack
S_rice crust porridge,Snack_any,Snack,Snack
S_rice crust cheese  porridge,Snack_any,Snack,
S_pumpkin porridge,Snack_any,Snack,
S_seaweed white fish porridge,Snack_any,Snack,
S_red bean porridge,Snack_any,Snack,
S_sweet pumpkin porridge,Snack_any,Snack,Snack
S_egg carrot porridge,Snack_any,Snack,
S_egg porridge,Snack_any,Snack,
S_egg veggie porridge,Snack_any,Snack,Snack
S_chicken corn porridge,Snack_any,Snack,
S_chicken veggie porridge,Snack_any,Snack,Snack
S_chicken black sesame porridge,Snack_any,Snack,
S_chicken aubergine porridge,Snack_any,Snack,
S_chicken napa cabbage porridge,Snack_any,Snack,
S_chicken cabbage porridge,Snack_any,Snack,
S_chicken porridge,Snack_any,Snack,Snack
S_carrot soup,Snack_any,Snack,Snack
S_carrot porridge,Snack_any,Snack,Snack
S_carrot cheese soup,Snack_any,Snack,
S_carrot cheese porridge,Snack_any,Snack,
S_carrot sweet potato porridge,Snack_any,Snack,
S_soybean porridge,Snack_any,Snack,
S_jujube milk porridge,Snack_any,Snack,
S_jujube milk soup,Snack_any,Snack,
S_pollack porridge,Snack_any,Snack,Snack
S_pork veggie porridge,Snack_any,Snack,
S_chwinamul soy paste porridge,Snack_any,Snack,
S_perilla seed tofu porridge,Snack_any,Snack,Snack
S_perilla seed rice crust porridge,Snack_any,Snack,
S_anchovy  porridge,Snack_any,Snack,
S_anchovy veggie porridge,Snack_any,Snack,
S_salted pollack roe porridge,Snack_any,Snack,
S_seaweed porridge,Snack_any,Snack,Snack
S_seaweed veggie porridge,Snack_any,Snack,
S_maesaengyi porridge,Snack_any,Snack,Snack
S_chestnut porridge,Snack_any,Snack,
S_napa cabbage egg porridge,Snack_any,Snack,
S_napa cabbage mushroom porridge,Snack_any,Snack,
S_mushroom soy paste porridge,Snack_any,Snack,
S_mushroom porridge,Snack_any,Snack,Snack
S_mushroom veggie porridge,Snack_any,Snack,
S_mushroom cheese porridge,Snack_any,Snack,
S_stir-fried brown rice porridge,Snack_any,Snack,
S_chive porridge,Snack_any,Snack,
S_chive sweet potato porridge,Snack_any,Snack,
S_chive chicken porridge,Snack_any,Snack,Snack
S_dried pollack veggie porridge,Snack_any,Snack,
S_broccoli beef porridge,Snack_any,Snack,
S_broccoli beef porridge,Snack_any,Snack,Snack
S_broccoli porridge,Snack_any,Snack,Snack
S_Saesongyi mushroom porridge,Snack_any,Snack,
S_shrimp porridge,Snack_any,Snack,
S_shrimp veggie porridge,Snack_any,Snack,
S_shrimp cheese porridge,Snack_any,Snack,
S_seafood porridge,Snack_any,Snack,Snack
S_shrimp porridge,Snack_any,Snack,Snack
S_beef soy paste porridge,Snack_any,Snack,
S_beef daikon porridge,Snack_any,Snack,
S_egg chive porridge,Snack_any,Snack,Snack
S_beef chive porridge,Snack_any,Snack,
S_beef soup,Snack_any,Snack,
S_beef onion porridge,Snack_any,Snack,
S_beef soy paste porridge,Snack_any,Snack,
S_beef burdock porridge,Snack_any,Snack,
S_beef potato porridge,Snack_any,Snack,
S_beef veggie porridge,Snack_any,Snack,Snack
S_beef bokchoy porridge,Snack_any,Snack,
S_beef sweet potato porridge,Snack_any,Snack,
S_soft tofu porridge,Snack_any,Snack,
S_soft tofu veggie porridge,Snack_any,Snack,
S_soft crab tofu soup,Snack_any,Snack,Snack
S_soft tofu veggie porridge,Snack_any,Snack,
S_spinach potato porridge,Snack_any,Snack,
S_spinach soy paste porridge,Snack_any,Snack,Snack
S_spinach porridge,Snack_any,Snack,Snack
S_spinach soup,Snack_any,Snack,
S_cheese porridge,Snack_any,Snack,Snack
S_spinach cheese porridge,Snack_any,Snack,
S_milk cream soup,Snack_any,Snack,
S_sweet pumpkin cream soup,Snack_any,Snack,
S_carrot cream soup,Snack_any,Snack,
S_corn cream soup,Snack_any,Snack,
S_broccoli cream soup,Snack_any,Snack,
S_spinach cream soup,Snack_any,Snack,
S_almond nut porridge,Snack_any,Snack,
S_almond soup,Snack_any,Snack,
S_zucchini potato porridge,Snack_any,Snack,
S_zucchini seaweed flake porridge,Snack_any,Snack,
S_zucchini seaweed porridge,Snack_any,Snack,
S_cabbage potato porridge,Snack_any,Snack,
S_cabbage shrimp porridge,Snack_any,Snack,
S_cabbage brown rice porridge,Snack_any,Snack,Snack
S_Yangsongyi mushroom veggie porridge,Snack_any,Snack,
S_Yangsongyi mushroom porridge,Snack_any,Snack,Snack
S_Yangsongyi mushroom porridge,Snack_any,Snack,
S_Yangsongyi mushroom soup,Snack_any,Snack,
S_Yangsongyi mushroom soup,Snack_any,Snack,Snack
S_onion dried pollack porridge,Snack_any,Snack,
S_onion cheese soup,Snack_any,Snack,
S_onion cheese porridge,Snack_any,Snack,
S_onion sweet potato porridge,Snack_any,Snack,
S_lotus root veggie porridge,Snack_any,Snack,Snack
S_tofu porridge,Snack_any,Snack,
S_soft tofu porridge,Snack_any,Snack,Snack
S_deluxe chicken porridge,Snack_any,Snack,
S_deluxe chive sweet potato porridge,Snack_any,Snack,
S_summer radish porridge,Snack_any,Snack,Snack
S_winter cabbage porridge,Snack_any,Snack,Snack
S_cuttlefish veggie porridge,Snack_any,Snack,
S_corn onion porridge,Snack_any,Snack,
S_corn porridge,Snack_any,Snack,Snack
S_glutinous corn porridge,Snack_any,Snack,
S_corn cheese  soup,Snack_any,Snack,
S_corn sweet potato porridge,Snack_any,Snack,
S_burdock porridge,Snack_any,Snack,
S_pine nut porridge,Snack_any,Snack,Snack
S_soy paste porridge,Snack_any,Snack,
S_abalone porridge,Snack_any,Snack,Snack
S_clam porridge,Snack_any,Snack,
S_sesame soup,Snack_any,Snack,
S_sesame milk soup,Snack_any,Snack,
S_sesame porridge,Snack_any,Snack,
S_sesame veggie porridge,Snack_any,Snack,
S_sesame cream soup,Snack_any,Snack,
S_sesame sweet potato porridge,Snack_any,Snack,
S_tuna seaweed porridge,Snack_any,Snack,
S_tuna porridge,Snack_any,Snack,
S_tuna veggie porridge,Snack_any,Snack,Snack
S_veggie soup,Snack_any,Snack,Snack
S_veggie porridge,Snack_any,Snack,Snack
S_chwinamul porridge,Snack_any,Snack,
S_cheese rice crust porridge,Snack_any,Snack,
S_cashewnut sesame porridge,Snack_any,Snack,
S_bean sprout porridge,Snack_any,Snack,Snack
S_sweet potato porridge,Snack_any,Snack,Snack
S_sea lettuce porridge,Snack_any,Snack,
S_paprika potato cream soup,Snack_any,Snack,
S_red bean porridge,Snack_any,Snack,Snack
S_Pyogo mushroom porridge,Snack_any,Snack,Snack
S_brown rice beef porridge,Snack_any,Snack,
S_brown rice zucchini porridge,Snack_any,Snack,
S_zucchini porridge,Snack_any,Snack,Snack
S_walnut five-grain porridge,Snack_any,Snack,
S_walnut porridge,Snack_any,Snack,
S_walnut veggie porridge,Snack_any,Snack,
S_walnut cheese porridge,Snack_any,Snack,
S_dried pollack porridge,Snack_any,Snack,Snack
S_black rice cheese porridge,Snack_any,Snack,
S_white fish porridge,Snack_any,Snack,
S_deluxe chicken porridge,Snack_any,Snack,
S_sweet rice sweet pumpkin porridge,Snack_any,Snack,
S_fish porridge,Snack_any,Snack,
S_cod veggie porridge,Snack_any,Snack,Snack
S_beef corn porridge,Snack_any,Snack,
S_beef porridge,Snack_any,Snack,Snack
S_whole chicken soup,Snack_any,Snack,
S_broccoli soup,Snack_any,Snack,Snack
S_zucchini porridge,Snack_any,Snack,Snack
S_(processed) cream soup,Snack_any,Snack,
S_(processed) beef soup,Snack_any,Snack,
S_potato porridge,Snack_any,Snack,Snack
S_cheese soft crab porridge,Snack_any,Snack,
S_egg porridge,Snack_any,Snack,
S_sweet rice sweet potato porridge,Snack_any,Snack,
S_Yangsongyi mushroom cheese porridge,Snack_any,Snack,Snack
S_sweet pumpkin soup,Snack_any,Snack,
S_carrot seaweed flake porridge,Snack_any,Snack,
S_mushroom veggie porridge,Snack_any,Snack,
S_bread soy milk porridge,Snack_any,Snack,
S_(processed) beef soup,Snack_any,Snack,
S_Yangsongyi mushroom cream soup,Snack_any,Snack,
S_pine nut sweet rice porridge,Snack_any,Snack,
S_spring parsley porridge,Snack_any,Snack,Snack
S_tuna veggie porridge,Snack_any,Snack,
S_sweet rice chicken porridge,Snack_any,Snack,Snack
S_macaroni and vegetables salad,Snack_any,Snack,Snack
deluxe rice ball,Snack_any,Snack,Snack
S_milk potato porridge,Snack_any,Snack,Snack
S_zucchini tofu porridge,Snack_any,Snack,Snack
S_vegetable potato porridge,Snack_any,Snack,Snack
S_tofu chive porridge,Snack_any,Snack,Snack
S_tofu vegetable porridge,Snack_any,Snack,Snack
S_perilla porridge,Snack_any,Snack,Snack
S_peanut porridge,Snack_any,Snack,Snack
S_dried radish leaves porridge,Snack_any,Snack,Snack
S_clam porridge,Snack_any,Snack,Snack
S_chive soy paste porridge,Snack_any,Snack,Snack
S_broccoli soy paste porridge,Snack_any,Snack,Snack
S_shirimp vegetable porridge,Snack_any,Snack,Snack
S_seaweed beef porridge,Snack_any,Snack,Snack
S_napa cabbage soy paste porridge,Snack_any,Snack,Snack
S_oatmeal porridge,Snack_any,Snack,Snack
S_pak choi porridge,Snack_any,Snack,Snack
S_white rice porridge,Snack_any,Snack,Snack
S_soy-based tteokbokki (stir-fried rice cake),Snack_afternoon,Snack,Snack
S_croquette,Snack_afternoon,Snack,Snack
S_royal-style tteokbokki (stir-fried rice cake),Snack_afternoon,Snack,Snack
S_mixed noodles with perilla leaves,Snack_afternoon,Snack,Snack
S_sweet green tea and chestnut jelly,Snack_afternoon,Snack,
S_steamed sweet pumpkin with nuts,Snack_afternoon,Snack,Snack
S_fried sweet pumpkin,Snack_afternoon,Snack,Snack
S_steamed sweet pumpkin,Snack_afternoon,Snack,Snack
S_sweet pumpkin honey steam,Snack_afternoon,Snack,Snack
S_sweet pumpkin cream risotto,Snack_afternoon,Snack,Snack
S_tteokbokki (stir-fried rice cake),Snack_afternoon,Snack,Snack
S_anchovy cracker,Snack_afternoon,Snack,
S_fried mandu (dumpling),Snack_afternoon,Snack,Snack or lunch
S_udon (white wheat noodles),Snack_afternoon,Snack,Snack
S_mini udon (white wheat noodles),Snack_afternoon,Snack,Snack
S_meat ball spaghetti,Snack_afternoon,Snack,Snack
S_biscuit,Snack_afternoon,Snack,
S_shrimp cracker,Snack_afternoon,Snack,
S_stir-fried shrimp in cream sauce,Snack_afternoon,Snack,Snack
S_deep-fried shrimp,Snack_afternoon,Snack,Snack
S_watermelon punch (without milk),Snack_afternoon,Snack,Snack
S_fruit punch,Snack_afternoon,Snack,Snack or lunch
S_watermelon punch,Snack_afternoon,Snack,Snack
S_cinnamon punch,Snack_afternoon,Snack,
S_rice cracker,Snack_afternoon,Snack,
S_seed-filled fried pancake,Snack_afternoon,Snack,Snack
S_aglio e olio spaghetti,Snack_afternoon,Snack,Snack
S_stir-fried fish cake with glass noodles,Snack_afternoon,Snack,Snack
S_stir-fried pork with glass noodles,Snack_afternoon,Snack,Snack
S_pan-fried pollack,Snack_afternoon,Snack,Snack
S_pan-fried shrimp and vegetables,Snack_afternoon,Snack,Snack
S_pan-fried chive,Snack_afternoon,Snack,Snack
S_pan-fried kimchi,Snack_afternoon,Snack,Snack
S_pan-fried corn,Snack_afternoon,Snack,Snack
S_pan-fried sweet pumpkin,Snack_afternoon,Snack,Snack
S_pan-fried lotus root,Snack_afternoon,Snack,Snack
S_pan-fried deluxe rice,Snack_afternoon,Snack,Snack
S_Omija ice cream,Snack_afternoon,Snack,
S_mixed noodles with cucumber,Snack_afternoon,Snack,Snack or dinner
S_seasoned salad with acorn jelly,Snack_afternoon,Snack,Snack
S_chilled acorn jelly soup with rice,Snack_afternoon,Snack,Snack
S_acorn jelly soup with rice,Snack_afternoon,Snack,Snack
S_acorn jelly soup,Snack_afternoon,Snack,Snack
S_chilled buckwheat noodles,Snack_afternoon,Snack,Snack
S_buckwheat noodles,Snack_afternoon,Snack,Snack
S_black soy noodles,Snack_afternoon,Snack,Snack
S_chilled banquet noodles with kimchi,Snack_afternoon,Snack,Snack
S_banquet noodles,Snack_afternoon,Snack,Snack
S_braised eggplant in curry,Snack_afternoon,Snack,Snack
S_deep-fried lotus root,Snack_afternoon,Snack,Snack
S_deep-fried sweet pumpkin,Snack_afternoon,Snack,Snack
S_deep-fried vegetables with hijiki,Snack_afternoon,Snack,Snack
S_fried vegetables,Snack_afternoon,Snack,Snack
S_cheese stick,Snack_afternoon,Snack,Snack or lunch or dinner
S_hot chocolate,Snack_afternoon,Snack,
S_cookie,Snack_afternoon,Snack,
S_crouton,Snack_afternoon,Snack,Snack
S_spinach spread pizza,Snack_afternoon,Snack,Snack
S_homestyle potato pizza,Snack_afternoon,Snack,Snack
S_cream tteokbokki (stir-fried rice cake),Snack_afternoon,Snack,Snack
S_tomato spaghetti,Snack_afternoon,Snack,Snack
S_stir-fried udon (white wheat noodles),Snack_afternoon,Snack,Snack
S_udon (white wheat noodles) with stir-fried seafood,Snack_afternoon,Snack,Snack
S_fried pancake,Snack_afternoon,Snack,Snack
S_Sujebi with perilla seeds,Snack_afternoon,Snack,Snack
S_Sujebi,Snack_afternoon,Snack,Snack
S_deep-fried lotus root,Snack_afternoon,Snack,Snack
S_deep-fried chicken nuggets,Snack_afternoon,Snack,Snack
S_soy-based deep-fried chicken nuggets,Snack_afternoon,Snack,Snack
S_soy-based mixed noodles,Snack_afternoon,Snack,Snack
